retrieval_mode,sample_id,question,answerable,tags,retrieved_count,retrieval_hit,retrieval_recall,retrieval_precision,reciprocal_rank,empty_result,duplicate_count,duplicate_rate,no_answer_false_positive,grounded_criteria_coverage,evidence_source_correct,embedding_latency_ms,search_latency_ms,latency_ms,search_repetitions,ranking_stability_rate,error
dense,milvus-001,Milvus 是什么，主要用来处理哪类数据？,True,"事实,定义",5,True,1.0,0.6,1.0,False,0,0.0,,1.0,True,524.86,747.66,1272.52,3,1,
dense,milvus-002,Milvus 的部署范围和产品形态有哪些？,True,"多事实,部署",5,True,1.0,0.6,1.0,False,0,0.0,,0.75,True,870.11,2831.974,3702.084,3,1,
dense,milvus-003,Milvus 隶属哪个基金会项目，使用什么许可证？,True,"事实,开源",5,True,1.0,0.4,1.0,False,0,0.0,,1.0,True,706.6,1669.357,2375.957,3,1,
dense,milvus-004,资料提到了哪些机构参与 Milvus 贡献？,True,"事实,生态",5,True,1.0,0.2,1.0,False,0,0.0,,0.7142857142857143,True,643.468,1870.707,2514.175,3,1,
dense,milvus-005,向量数据库可管理哪些非结构化内容的嵌入？请举例。,True,"事实,同义表达",5,True,1.0,0.4,1.0,False,0,0.0,,0.75,True,481.622,409.379,891.001,3,1,
dense,milvus-006,Milvus 在数据建模方面支持哪些常见字段类型？,True,"事实,数据模型",5,True,1.0,0.4,0.5,False,0,0.0,,0.75,True,234.399,397.681,632.08,3,1,
dense,milvus-007,Milvus 有哪三种部署模式？,True,"事实,部署",5,True,1.0,0.6,1.0,False,0,0.0,,1.0,True,324.01,400.812,724.822,3,1,
dense,milvus-008,适合在笔记本或原型环境中使用的是哪种 Milvus 形态？,True,"同义表达,部署",5,True,1.0,0.4,1.0,False,0,0.0,,1.0,True,237.749,382.918,620.667,3,1,
dense,milvus-009,单机生产部署通常选择哪种 Milvus 模式？,True,"同义表达,部署",5,True,1.0,0.6,1.0,False,0,0.0,,1.0,True,269.114,375.24,644.354,3,1,
dense,milvus-010,需要横向扩展的大规模场景应选择哪种部署？,True,"同义表达,部署",5,True,1.0,0.4,1.0,False,0,0.0,,1.0,True,246.764,374.004,620.768,3,1,
dense,milvus-011,资料中的基准测试称 Milvus 性能领先多少倍？,True,"事实,性能",5,True,1.0,0.4,1.0,False,0,0.0,,1.0,True,249.444,401.898,651.342,3,1,
dense,milvus-012,Milvus 利用了哪些硬件能力来提升向量检索性能？,True,"多事实,性能",5,True,1.0,0.4,0.5,False,0,0.0,,1.0,True,223.074,405.608,628.682,3,1,
dense,milvus-013,Milvus 支持哪些代表性向量索引，索引优化可带来多大提升？,True,"多事实,索引",5,True,1.0,0.4,1.0,False,0,0.0,,1.0,True,238.965,382.534,621.499,3,1,
dense,milvus-014,Milvus 核心引擎主要用什么语言编写，占比如何？,True,"事实,架构",5,True,1.0,0.4,1.0,False,0,0.0,,1.0,True,277.282,375.099,652.381,3,1,
dense,milvus-015,列式存储给 Milvus 带来什么好处？,True,"解释,架构",5,True,1.0,0.6,1.0,False,0,0.0,,0.75,True,241.354,399.593,640.947,3,1,
dense,milvus-016,资料如何描述 Milvus 在 2022、2023 年的数据规模和企业采用情况？,True,"多事实,规模",5,True,1.0,0.4,0.5,False,0,0.0,,1.0,True,276.343,410.918,687.261,3,1,
dense,milvus-017,Milvus 为什么能够独立扩展不同工作负载？,True,"解释,架构",5,True,1.0,0.4,1.0,False,0,0.0,,1.0,True,239.913,399.259,639.173,3,1,
dense,milvus-018,Milvus 的 Search、Data 和 Index 节点分别负责什么？,True,"多事实,架构",5,True,1.0,0.6,1.0,False,0,0.0,,1.0,True,253.157,394.946,648.103,3,1,
dense,milvus-019,Milvus 提供了哪些检索或查询能力？,True,"多事实,检索",5,True,1.0,0.6,1.0,False,0,0.0,,1.0,True,226.441,218.245,444.686,3,1,
dense,milvus-020,ANN、标量过滤、范围搜索和混合搜索的用途有何区别？,True,"解释,多跳,检索",5,True,1.0,0.6,1.0,False,0,0.0,,0.75,True,243.068,387.952,631.02,3,1,
