retrieval_mode,sample_id,question,answerable,tags,difficulty,history_turn_count,context_expected_dependency,context_predicted_dependency,context_dependency_correct,context_query_match,context_fallback_used,contextualization_latency_ms,multi_document,required_evidence_count,matched_evidence_count,required_document_count,matched_document_count,full_evidence_retrieved,full_document_coverage,retrieved_count,retrieval_hit,retrieval_recall,retrieval_precision,reciprocal_rank,empty_result,duplicate_count,duplicate_rate,no_answer_false_positive,grounded_criteria_coverage,evidence_source_correct,embedding_latency_ms,search_latency_ms,latency_ms,search_repetitions,ranking_stability_rate,error
dense,workspace-001,Milvus 是什么，它以哪两种形态提供？,True,"事实,单文档",easy,0,,,,,,0.0,False,1,1,1,1,True,,8,True,1.0,0.375,1.0,False,0,0.0,,1.0,True,1300.81,380.923,1681.733,3,1,
dense,workspace-002,Milvus Lite、Standalone 和 Distributed 分别适合什么部署场景？,True,"解释,部署,单文档",medium,0,,,,,,0.0,False,1,1,1,1,True,,8,True,1.0,0.375,0.5,False,0,0.0,,1.0,True,380.208,382.553,762.761,3,1,
dense,workspace-003,Milvus 文档将高性能归因于哪些关键设计？,True,"多证据,性能,单文档",hard,0,,,,,,0.0,False,2,2,1,1,True,,8,True,1.0,0.5,1.0,False,0,0.0,,1.0,True,352.524,400.889,753.413,3,1,
dense,workspace-004,Milvus 的架构为什么可以随数据规模扩展？,True,"架构,扩展性,单文档",medium,0,,,,,,0.0,False,1,1,1,1,True,,8,True,1.0,0.25,0.5,False,0,0.0,,1.0,True,362.733,393.782,756.515,3,1,
dense,workspace-005,ANN、过滤、范围、混合、关键词搜索和重排各解决什么问题？,True,"检索,多要点,单文档",hard,0,,,,,,0.0,False,1,1,1,1,True,,8,True,1.0,0.125,0.3333333333333333,False,0,0.0,,1.0,True,409.351,416.721,826.071,3,1,
dense,workspace-006,Milvus 官方列出了哪些 API 或 SDK？,True,"列表,精确术语,单文档",easy,0,,,,,,0.0,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,1.0,True,348.73,396.44,745.17,3,1,
dense,workspace-007,Milvus 除普通标量外支持哪些高级数据类型？,True,"列表,数据模型,单文档",easy,0,,,,,,0.0,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,1.0,True,460.121,379.987,840.107,3,1,
dense,workspace-008,Milvus 在数据导入、多租户和一致性方面提供了什么能力？,True,"多要点,治理,单文档",medium,0,,,,,,0.0,False,1,1,1,1,True,,8,True,1.0,0.25,1.0,False,0,0.0,,1.0,True,435.28,398.069,833.349,3,1,
dense,workspace-009,PyMilvus 的 AI 集成覆盖哪三类能力？,True,"列表,AI 集成,单文档",easy,0,,,,,,0.0,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,1.0,True,447.968,398.665,846.633,3,1,
dense,workspace-010,Attu、Birdwatcher、Milvus Backup 和 Milvus CDC 分别有什么用途？,True,"工具,多要点,单文档",medium,0,,,,,,0.0,False,1,1,1,1,True,,8,True,1.0,0.25,1.0,False,0,0.0,,1.0,True,448.407,396.17,844.577,3,1,
dense,workspace-011,DeepSearcher 为什么不把整篇 PDF 直接生成一个向量？,True,"Chunk,原理,单文档",easy,0,,,,,,0.0,False,1,1,1,1,True,,8,True,1.0,0.125,0.2,False,0,0.0,,0.3333333333333333,True,466.077,395.398,861.475,3,1,
