agent,sample_id,question,answerable,difficulty,history_turn_count,context_expected_dependency,context_predicted_dependency,context_dependency_correct,context_query_match,context_fallback_used,context_primary_rewrite,context_safe_query,context_retrieval_queries,context_validation_reason,context_tokens,checkpoint_status,evaluation_attempts,multi_document,required_evidence_count,matched_evidence_count,required_document_count,matched_document_count,full_evidence_retrieved,full_document_coverage,retrieved_count,retrieval_hit,retrieval_recall,retrieval_precision,reciprocal_rank,empty_result,duplicate_count,duplicate_rate,no_answer_false_positive,answer_criteria_coverage,policy_input_criteria_coverage,coverage_failure_type,grounded_criteria_coverage,evidence_source_correct,refusal_correct,grounding_state,claim_count,supported_claim_count,claim_support_rate,ungrounded_claim_rate,invalid_claim_citation_rate,trust_input_claim_count,trust_input_supported_claim_count,trust_input_claim_support_rate,consistency_checked_claim_count,consistency_inconsistent_claim_count,consistency_inconsistency_rate,consistency_unknown_claim_count,consistency_unknown_rate,relative_time_claim_count,relative_time_unknown_claim_count,relative_time_unknown_rate,relative_time_rejected_claim_count,relative_time_rejection_rate,freshness_mode,freshness_required,freshness_claim_count,freshness_unknown_claim_count,freshness_unknown_rate,freshness_rejected_claim_count,freshness_rejection_rate,policy_action,policy_reason_codes,policy_answer_changed,temporal_provenance_bound,evidence_publication_anchor_count,evidence_publication_anchor_eligible_count,evidence_publication_anchor_coverage_rate,evidence_version_family_count,evidence_version_family_eligible_count,evidence_version_family_coverage_rate,claim_citation_precision,claim_citation_recall,latency_ms,tokens,llm_calls,error,answer,reference_answer
naive,workspace-001,Milvus 是什么，它以哪两种形态提供？,True,easy,0,,,,,,,,,,0,reused,1,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,1.0,1.0,complete,1.0,True,,fully_grounded,5,5,1.0,0.0,0.0,5,5,1.0,1,0,0.0,0,0.0,0,0,,0,,none,False,0,0,,0,,allow,['ANSWER_FULLY_GROUNDED'],False,True,0,8,0.0,0,8,0.0,0.25,1.0,36864.241,5680,1,,Milvus 是一种高性能、高可扩展的向量数据库，能够高效运行在从笔记本电脑到大规模分布式系统的各种环境中 [E1]。它是专为向量相似度搜索设计的数据系统 [E5]。Milvus 是 LF AI & Data 基金会下的开源项目，采用 Apache 2.0 许可证分发 [E1]。关于提供形态，E1 明确指出 Milvus 同时以开源软件和云服务两种形态提供 [E1]。此外，在部署和使用层面，证据还区分了 Milvus Lite 和 Docker/服务化 Milvus：Milvus Lite 适合个人学习、原型和小数据测试，但不能模拟独立网络服务与集群故障 [E3][E4]；Docker/服务化 Milvus 适合向量检索作为独立能力且数据和并发持续增长的情况，但需要单独部署、监控和容量治理 [E3][E4]。,Milvus 是高性能、可扩展的向量数据库，同时提供开源软件和云服务。
naive,workspace-002,Milvus Lite、Standalone 和 Distributed 分别适合什么部署场景？,True,medium,0,,,,,,,,,,0,reused,1,False,1,1,1,1,True,,8,True,1.0,0.375,0.5,False,0,0.0,,1.0,1.0,complete,1.0,True,,fully_grounded,11,11,1.0,0.0,0.0,11,11,1.0,0,0,,0,,0,0,,0,,none,False,0,0,,0,,allow,['ANSWER_FULLY_GROUNDED'],False,True,0,8,0.0,0,8,0.0,0.4,1.0,22083.667,4107,1,,"根据现有证据，Milvus 的三种部署模式分别覆盖了从本地原型到超大规模生产集群的不同场景：[E2][E3]

- **Milvus Lite**：适合个人学习、原型开发和小数据测试；它是一个轻量级 Python 库，可以方便地集成到应用中，特别适合在 Jupyter Notebook 中快速原型验证，或运行在资源受限的边缘设备上。[E1][E2][E3][E4]
  主要限制是：它不能代表独立网络服务，无法模拟独立网络服务的故障和扩展能力，也不能模拟独立网络服务和集群故障。[E1][E4] 因此，它不适合用来验证真实服务连接、资源限制或故障行为。[E1]

- **Milvus Standalone**：适合需要真实服务连接、资源限制和故障验证的场景；它是单机服务器部署，所有组件打包在单个 Docker 镜像中，部署方便。[E1][E2][E3] 当向量检索需要作为独立能力提供，并且数据和并发持续增长时，也适合使用 Standalone 或 Docker 服务化部署。[E4]
  相比 Milvus Lite，它的部署和资源成本更高，并且需要单独部署、监控和容量治理。[E1][E4]

- **Milvus Distributed**：适合部署在 Kubernetes 集群上的云原生超大规模场景，设计目标是十亿级甚至更大规模的数据管理。[E2][E3] 其架构确保关键组件具有冗余性。[E2][E3] Milvus 本身完全无状态，可借助 Kubernetes 或公有云弹性扩展；搜索、数据插入、索引/压缩等关键任务都可并行化，查询节点、数据节点和索引节点可以独立扩缩容，从而优化性能和成本效率。[E8] 该模式适用于管理数百亿向量的 Kubernetes 集群，以及 Salesforce、PayPal、Shopee、Airbnb、eBay、NVIDIA、IBM 等大型企业的生产场景。[E2][E8]",Lite 适合本地原型或边缘设备，Standalone 是单机 Docker 服务，Distributed 面向 Kubernetes 上的十亿级及更大规模。
naive,workspace-006,Milvus 官方列出了哪些 API 或 SDK？,True,easy,0,,,,,,,,,,0,reused,1,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,1.0,1.0,complete,1.0,True,,fully_grounded,1,1,1.0,0.0,0.0,1,1,1.0,0,0,,0,,0,0,,0,,none,False,0,0,,0,,allow,['ANSWER_FULLY_GROUNDED'],False,True,0,8,0.0,0,8,0.0,1.0,1.0,2681.721,1721,1,,Milvus 官方列出的 API 和 SDK 包括：RESTful API（官方）[E1]、PyMilvus（Python SDK，官方）[E1]、Go SDK（官方）[E1]、Java SDK（官方）[E1]、Node.js（JavaScript）SDK（官方）[E1]，以及 C# SDK（由 Microsoft 贡献）[E1]。,包括 RESTful API、PyMilvus、Go SDK、Java SDK 和 Node.js SDK；文档还列出微软贡献的 C# SDK。
naive,workspace-013,为什么不能说 1500/100 是最优分块参数，应如何验证？,True,medium,0,,,,,,,,,,0,reused,1,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,0.8,1.0,policy_deletion,1.0,True,,fully_grounded,6,6,1.0,0.0,0.0,18,6,0.3333333333333333,8,6,0.75,0,0.0,0,0,,0,,none,False,0,0,,0,,downgrade,['ANSWER_PARTIALLY_GROUNDED'],True,True,0,8,0.0,0,8,0.0,0.25,1.0,21924.01,3891,1,,"同样，讲义中也写明“当前 1500/100 是工程默认值，我们只验证了它会影响 Chunk 数量，还没有通过 Recall@K 证明它最优”。[E4]

**Recall@K**：衡量标准证据能否在 top-k 检索结果中被召回。[E1]

**回答正确率和忠实度**：直接反映问答系统最终输出质量。[E1]

**重复片段比例**：用于检验 overlap 是否过高、是否产生大量内容重复。[E1][E6]

此外，当前 API 入库入口没有暴露 `chunk_size`、`chunk_overlap` 等参数，固定使用底层函数默认的 1500/100，因此调参灵活性较低，若要系统验证不同参数对上述指标的影响，需要先开放这些参数入口。[E8]

综合来看，必须用“带标准答案的问题集 + 多维评估指标”才能比较参数优劣，不能仅凭默认值或片段数量变化断言最优。[E1][E4]",它只是工程默认值。应在带标准证据的问题集上比较 Recall@K、回答正确率和忠实度、重复片段比例、入库时间、存储、查询延迟与 Token。
naive,workspace-015,当前项目应如何解释 L2 和 score 字段？,True,easy,0,,,,,,,,,,0,reused,1,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,1.0,1.0,complete,1.0,True,,fully_grounded,10,10,1.0,0.0,0.0,11,10,0.9090909090909091,2,0,0.0,0,0.0,0,0,,0,,none,False,0,0,,0,,downgrade,['ANSWER_PARTIALLY_GROUNDED'],True,True,0,8,0.0,0,8,0.0,0.3333333333333333,1.0,8084.909,3349,1,,"当前项目默认使用 `L2`，也就是欧氏距离。[E1]

`L2` 是距离，数值越小表示越接近。[E1][E2]

项目曾用 2 维临时 Collection 实验得到距离 `0.01`、`0.81`、`4.81`，结果按从小到大排序。[E1]

虽然返回结果的字段名叫 `score`，当前实际保存的是 Milvus 返回的 `distance`，所以不能说“score 越大越相似”。[E1]

常见度量的直观区别是：`L2` 比较绝对几何距离；`Cosine` 比较向量方向是否一致；`IP` 比较内积，同时受方向和模长影响。[E1]

选择度量方式应参考 Embedding 模型建议、向量是否归一化，以及真实评测结果。[E1]

`score` 字段不能替代度量语义，字段名不是判断相关性的依据。[E2]

前端笼统地把 `score` 标为“相似度”不够严谨。[E3]

生产环境响应应同时携带 `metric`、`score_type`、`higher_is_better`、`retrieval_mode` 等字段，才能准确解释该值。[E3]

因此，“score 越大越相关”是错误说法；正确的说法是：当前 `L2` 距离越小越近。[E2]",L2 是欧氏距离，越小越近；项目名为 score 的字段实际承载 Milvus 返回的 distance，不能解释成越大越相似。
naive,workspace-019,为什么生产环境不能滥用 force_new_collection？,True,easy,0,,,,,,,,,,0,reused,1,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,0.75,1.0,chunk_ranking_gap,0.75,True,,fully_grounded,7,7,1.0,0.0,0.0,13,7,0.5384615384615384,3,2,0.6666666666666666,0,0.0,0,0,,0,,none,False,0,0,,0,,downgrade,['ANSWER_PARTIALLY_GROUNDED'],True,True,0,8,0.0,0,8,0.0,0.3333333333333333,1.0,19435.384,3736,1,,"先保留旧 Collection，再创建新版本 Collection，而不是直接删除旧 Collection。[E2]

新 Collection 需要用新模型重新生成向量，并运行检索回归评测，确认效果后再切换查询流量。[E2]

切换后仍要保留回滚能力，不能在“没有备份和评测”的情况下直接删除旧 Collection。[E2]

整个流程应保留旧版本用于回滚，验证通过后再切流。[E1][E2]

如果未经验证就 `force_new_collection`，一旦新集合有问题，旧数据已被删除，会陷入不可逆的失败状态。[E1][E2]

当前系统设计上也体现了这种保护：API 入库入口没有暴露 `force_new_collection`，固定使用底层默认的 1500/100 切分参数，并默认不删除 Collection。[E7]

这减少了误操作入口，但也降低了调参灵活性。[E7]",它可能删除已有 Collection 并造成数据丢失。更安全的做法是创建版本化 Collection、验证后切流并保留旧版本回滚。
naive,workspace-021,Hybrid 检索为什么可能有帮助，又为什么不能仅凭代码存在就启用？,True,hard,0,,,,,,,,,,0,reused,1,False,2,2,1,1,True,,8,True,1.0,0.25,1.0,False,0,0.0,,1.0,1.0,complete,1.0,True,,fully_grounded,9,9,1.0,0.0,0.0,11,9,0.8181818181818182,4,1,0.25,0,0.0,0,0,,0,,none,False,0,0,,0,,downgrade,['ANSWER_PARTIALLY_GROUNDED'],True,True,0,8,0.0,0,8,0.0,0.2857142857142857,1.0,21774.779,3630,1,,"Hybrid 检索可能有帮助，因为它把两种互补的召回方式结合起来：Dense 根据 Embedding 找语义近似，擅长同义词和自然语言改写；BM25 根据词频、稀有度和文档长度找字面匹配，擅长错误码、SKU、函数名和版本号这类精确字符串。[E8]

Hybrid 同时执行两路召回，并用 RRF 按名次而不是原始分数融合，避免直接比较 L2 与 BM25 这两种方向、范围和量纲都不同的分数。[E8]

在 DeepSearch 流程中，向量检索只给出候选，之后由 LLM 判断每个候选 Chunk 是否有帮助，所以召回阶段能否同时覆盖语义改写和精确标识符，会影响后续用于判断的证据候选质量。[E7]

但源码存在不等于“混合检索效果更好”，也不等于应该立即启用。[E1][E2]

首先，必须在同一问题集上比较 dense、BM25 和 hybrid 的 Recall@K、延迟、存储和资源开销，才能验证是否真正更优。[E2]

其次，当前 YAML 没有启用 hybrid，实际仍是 Dense-only，代码存在与配置启用是两回事。[E8]

再次，启用后必须考虑失败行为：后端请求失败、Milvus 检索失败、检索成功但没有相关证据，不能用同一个“没有答案”提示掩盖；当没有任何检索结果时，系统返回“没有相关信息”是保守行为，但无法区分“真实无命中”和“检索系统失败”。[E4][E5]

最后，完整流程中还有其他依赖：子查询和补充查询依赖模型输出可解析列表且结构校验不完整，互联网检索仍是 TODO，当前只查向量数据库 ——这些都不是 hybrid 代码本身能解决的。[E6]

因此，启用 hybrid 必须同时验证召回质量、延迟、存储/资源开销和失败模式，而不是因为代码已经存在就默认启用。[E2][E4][E5][E8]",Dense 有利于语义改写，BM25 对编号、日期和专有词更稳，RRF 可融合两路；但是否提升必须在同一问题集比较 Recall、延迟、存储和资源开销。
naive,workspace-024,DeepSearch 从原问题到最终答案要经过哪些主要阶段？,True,hard,0,,,,,,,,,,0,reused,1,False,2,0,1,1,False,,3,False,0.0,0.0,0.0,False,0,0.0,,0.0,0.0,retrieval_gap,0.0,False,,insufficient_evidence,1,0,0.0,1.0,0.0,1,0,0.0,0,0,,0,,0,0,,0,,none,False,0,0,,0,,refuse,['EVIDENCE_INSUFFICIENT'],True,True,0,3,0.0,0,3,0.0,,0.0,3217.877,636,1,,根据现有证据，无法给出有充分依据的回答。,先生成最多四个子查询并发检索，对候选 Chunk 做 YES/NO 支持性过滤，合并去重；非最后一轮反思并生成补充查询，达到停止条件后汇总证据生成答案。
naive,workspace-027,ChainOfRAG 如何沿事实线索完成多跳查询？,True,hard,0,,,,,,,,,,0,reused,1,False,2,2,1,1,True,,8,True,1.0,0.375,1.0,False,0,0.0,,1.0,1.0,chunk_ranking_gap,0.6,True,,fully_grounded,12,12,1.0,0.0,0.0,13,12,0.9230769230769231,1,0,0.0,0,0.0,0,0,,0,,none,False,0,0,,0,,downgrade,['ANSWER_PARTIALLY_GROUNDED'],True,True,0,8,0.0,0,8,0.0,0.4,1.0,10730.021,2510,1,,"ChainOfRAG 沿事实线索完成多跳查询的核心机制是“串行检索链”：它把原问题拆解成逐轮递进的追问，并将上一轮的中间答案作为下一轮的历史上下文，从而沿着实体与关系的线索逐步推进。[E1][E7]

**初始输入与追问生成**：每一轮都基于“原始问题 + 历史中间问答”生成一个简单的追问。[E1][E7]

**检索与中间答案生成**：对当前追问执行 Collection 路由、向量检索，并根据检索到的文档生成中间答案。[E1]

**支持文档筛选**：由 LLM 从候选中选择支持该“问答对”的文档，而非简单去重或做 Chunk 级 YES/NO 过滤。[E1][E3]

**状态保存与链式推进**：保存“追问 + 中间答案”，该中间问答进入下一轮，形成串行检索链；下一轮再根据已有答案继续追问。[E1][E7]

**停止机制**：可选地判断当前信息是否足够；若启用 early stopping，每轮都会做充分性判断，否则最多执行 `max_iter` 轮。[E1]

对比来看，NaiveRAG 一轮结束，DeepSearch 在无补充查询或达到上限时结束，而 ChainOfRAG 是“可选充分性判断或达到上限”。[E3]

**最终汇总**：汇总所有支持文档和中间问答，生成最终答案。[E7]

在适用性上，ChainOfRAG 特别适合“后一个问题依赖前一个答案”的多跳事实问题，也适合需要逐步发现实体和关系的任务。[E7][E5]

在成本与延迟方面，ChainOfRAG 的成本与延迟随串行轮数累积；相比之下 NaiveRAG 较低且稳定，DeepSearch 较高且调用量可能很大。[E3]

主要风险是错误中间答案会向后续轮次传播。[E1][E4]

此外，当前默认关闭 early stopping，中间答案还可能传播错误，文档索引校验也不完整；它只是受 CoRAG 思想启发，并非论文训练方法的完整复现。[E1]",每轮根据原问题和历史中间问答生成一个简单追问，完成 Collection 路由、检索和中间答案，再选择支持文档；后续轮次依赖已得到的事实，最后汇总。
naive,workspace-032,核心 API 的 Provider 配置、文件入库、网站入库、普通查询和流式查询分别是什么边界？,True,hard,0,,,,,,,,,,0,reused,1,False,2,2,1,1,True,,8,True,1.0,0.25,0.5,False,0,0.0,,1.0,1.0,complete,1.0,True,,fully_grounded,19,19,1.0,0.0,0.0,27,19,0.7037037037037037,9,2,0.2222222222222222,0,0.0,0,0,,0,,none,False,0,0,,0,,downgrade,['ANSWER_PARTIALLY_GROUNDED'],True,True,0,8,0.0,0,8,0.0,0.4,1.0,36820.899,7154,1,,"接口为 `POST /set-provider-config/`，输入位置是 JSON Body，当前作用是为当前受信租户构建并发布下一 runtime 版本。[E2]

关键边界是：旧请求继续使用旧租约；密钥不回显且只能引用环境变量。[E2]

配置发布依赖共享 SQLite 控制面、CAS 发布和请求租约延迟回收，多 worker 会在请求边界观察活动版本。[E1]

权限边界上，租户发布/回滚要求管理令牌，默认租户 Provider 更新要求服务令牌。[E3]

Pydantic 只校验 `feature`、`provider`、`config` 三个字段是否存在以及基本类型；`feature` 是否受支持要到 `set_provider_config()` 业务函数中才判断。[E6]

接口为 `POST /load-files/`，输入位置是 JSON Body；作用是读取后端机器上的文件路径或路径列表，做路径存在性检查，解析为 Document，按 1500/100 默认参数切 Chunk，再按 `batch_size` 批量生成 Embedding，最后写入指定或默认 Collection。[E5][E2]

关键边界是：这不是浏览器二进制上传接口，而是读取服务端路径；默认 `batch_size=256`。[E2]

路径必须存在于 FastAPI 服务所在机器上，浏览器用户本机路径对部署在另一台服务器上的后端没有意义。[E5]

当前入口没有暴露 `chunk_size`、`chunk_overlap` 和 `force_new_collection`，因此 API 入库固定使用底层默认 1500/100，并默认不删除 Collection；这减少了误操作入口，但降低了调参灵活性。[E5]

接口为 `POST /load-website/`，输入位置是 JSON Body；作用是抓取 URL、切 Chunk、Embedding 后写入 Milvus。[E2]

关键边界是：依赖爬虫和外部网络；当前入口没有暴露抓取超时等治理参数。[E2]

URL 抓取可能带来费用滥用、SSRF 和恶意内容入库风险。[E3]

接口为 `POST /query`，输入位置是 JSON Body；作用是调用当前租户的 RAGRouter 查询，可选返回 Trace。[E2][E6]

核心与代理都限制 `max_iter ≤ 10`，但仍需总 deadline、模型 Token 预算和分布式并发控制。[E3]

查询已改用 POST Body；仍要避免在自定义日志、APM payload 或错误上报中记录请求体。[E3]

`max_iter` 越界会在进入业务函数前被 FastAPI/Pydantic 拒绝，例如传入 0 会返回安全的 422 错误信封；但类型校验通过不等于业务输入安全，`original_query` 长度和 `max_iter` 只是请求预算，不等于完整成本治理。[E6]

接口为 `POST /query/stream`，输入位置是 JSON Body + SSE；作用是增量返回受控执行阶段与最终结果。[E6]

关键边界是：阶段不是思维链；断连时协作取消并释放 runtime 租约。[E6]

需要注意的是，当前核心整体仍是同步阻塞依赖加线程池承载，不是端到端异步架构。[E1]",Provider 接口发布受信租户的新 runtime 且不回显密钥；load-files 接受后端路径；load-website 依赖外网爬虫；query 用 POST JSON 返回结果/可选 Trace；query/stream 用 SSE 返回安全阶段和终态。
