retrieval_mode,sample_id,question,answerable,tags,difficulty,history_turn_count,context_expected_dependency,context_predicted_dependency,context_dependency_correct,context_query_match,context_fallback_used,contextualization_latency_ms,multi_document,required_evidence_count,matched_evidence_count,required_document_count,matched_document_count,full_evidence_retrieved,full_document_coverage,retrieved_count,retrieval_hit,retrieval_recall,retrieval_precision,reciprocal_rank,empty_result,duplicate_count,duplicate_rate,no_answer_false_positive,grounded_criteria_coverage,evidence_source_correct,embedding_latency_ms,search_latency_ms,latency_ms,search_repetitions,ranking_stability_rate,error
dense,workspace-061,那三种分别适合什么场景？,True,"多轮,指代,部署,单文档",medium,2,True,True,True,False,False,2436.118,False,1,1,1,1,True,,8,True,1.0,0.375,0.5,False,0,0.0,,1.0,True,1302.128,408.191,4146.437,3,1,
dense,workspace-062,换个话题，FastAPI 应用启动时如何管理外部组件的生命周期？,True,"多轮,话题切换,FastAPI,单文档",hard,2,False,False,True,True,True,1402.806,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,0.8,True,468.962,380.076,2251.844,3,1,
dense,workspace-063,那是越大越相似吗？,True,"多轮,指代,Embedding,易错点",easy,2,True,True,True,False,False,1659.253,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,0.6666666666666666,True,1141.4,397.252,3197.905,3,1,
dense,workspace-064,那两者到底差在哪一步？,True,"多轮,省略,Chunk,对比",easy,2,True,True,True,False,False,1403.418,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,1.0,True,1083.319,384.506,2871.243,3,1,
dense,workspace-065,如果只跑一轮，为什么看不到它？,True,"多轮,指代,DeepSearch,反思",easy,2,True,True,True,False,False,1208.947,False,1,0,1,0,False,,8,False,0.0,0.0,0.0,False,0,0.0,,0.0,False,428.953,400.263,2038.163,3,1,
dense,workspace-066,默认关掉它具体意味着什么，又有什么误判风险？,True,"多轮,指代,ChainOfRAG,多证据",hard,2,True,True,True,False,False,1317.206,False,2,1,1,1,False,,8,True,0.5,0.125,0.2,False,0,0.0,,0.8,True,444.614,400.741,2162.56,3,1,
dense,workspace-067,为什么浏览器不能直接把这个路径交给它？,True,"多轮,指代,上传,边界",easy,2,True,True,True,False,False,1421.777,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,1.0,True,1099.443,409.623,2930.844,3,1,
dense,workspace-068,它为什么不算思维链，最后又怎么变成引用？,True,"多轮,指代,Trace,引用",medium,2,True,True,True,False,False,1506.923,False,1,1,1,1,True,,8,True,1.0,0.25,1.0,False,0,0.0,,1.0,True,1042.42,399.486,2948.829,3,1,
dense,workspace-069,所以现在默认已经用上两路融合了吗？,True,"多轮,省略,Hybrid,易错点",medium,2,True,True,True,False,False,1300.895,False,2,2,1,1,True,,8,True,1.0,0.375,1.0,False,0,0.0,,1.0,True,418.319,399.753,2118.966,3,1,
dense,workspace-070,那这个项目本地选的是哪一种，为什么？,True,"多轮,跨文档,指代,部署",hard,2,True,True,True,False,False,1389.78,True,2,2,2,2,True,True,8,True,1.0,0.5,1.0,False,0,0.0,,1.0,True,438.475,396.859,2225.113,3,1,
dense,workspace-071,那具体必须达到多少？,False,"多轮,省略,无答案,容量",medium,2,True,True,True,False,False,1192.998,False,0,0,0,0,,,8,,,,,False,0,0.0,True,,,439.65,400.374,2033.023,3,1,
dense,workspace-072,另一个问题：当前最终用户登录明确采用了哪一家 OIDC 身份提供商？,False,"多轮,话题切换,无答案,安全",easy,2,False,False,True,True,True,1711.625,False,0,0,0,0,,,8,,,,,False,0,0.0,True,,,1076.943,206.076,2994.644,3,1,
bm25,workspace-061,那三种分别适合什么场景？,True,"多轮,指代,部署,单文档",medium,2,True,True,True,False,False,2436.118,False,1,1,1,1,True,,8,True,1.0,0.375,0.5,False,0,0.0,,1.0,True,1302.128,400.605,4138.851,3,1,
bm25,workspace-062,换个话题，FastAPI 应用启动时如何管理外部组件的生命周期？,True,"多轮,话题切换,FastAPI,单文档",hard,2,False,False,True,True,True,1402.806,False,1,1,1,1,True,,8,True,1.0,0.125,0.25,False,0,0.0,,0.8,True,468.962,418.909,2290.677,3,1,
bm25,workspace-063,那是越大越相似吗？,True,"多轮,指代,Embedding,易错点",easy,2,True,True,True,False,False,1659.253,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,1.0,True,1141.4,384.405,3185.058,3,1,
bm25,workspace-064,那两者到底差在哪一步？,True,"多轮,省略,Chunk,对比",easy,2,True,True,True,False,False,1403.418,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,1.0,True,1083.319,404.236,2890.974,3,1,
bm25,workspace-065,如果只跑一轮，为什么看不到它？,True,"多轮,指代,DeepSearch,反思",easy,2,True,True,True,False,False,1208.947,False,1,0,1,0,False,,8,False,0.0,0.0,0.0,False,0,0.0,,0.0,False,428.953,396.819,2034.718,3,1,
bm25,workspace-066,默认关掉它具体意味着什么，又有什么误判风险？,True,"多轮,指代,ChainOfRAG,多证据",hard,2,True,True,True,False,False,1317.206,False,2,2,1,1,True,,8,True,1.0,0.25,0.3333333333333333,False,0,0.0,,1.0,True,444.614,413.714,2175.533,3,1,
bm25,workspace-067,为什么浏览器不能直接把这个路径交给它？,True,"多轮,指代,上传,边界",easy,2,True,True,True,False,False,1421.777,False,1,1,1,1,True,,8,True,1.0,0.125,0.2,False,0,0.0,,1.0,True,1099.443,388.082,2909.302,3,1,
bm25,workspace-068,它为什么不算思维链，最后又怎么变成引用？,True,"多轮,指代,Trace,引用",medium,2,True,True,True,False,False,1506.923,False,1,0,1,0,False,,0,False,0.0,0.0,0.0,True,0,0.0,,0.0,False,1042.42,258.417,2807.76,3,1,
bm25,workspace-069,所以现在默认已经用上两路融合了吗？,True,"多轮,省略,Hybrid,易错点",medium,2,True,True,True,False,False,1300.895,False,2,1,1,1,False,,8,True,0.5,0.25,1.0,False,0,0.0,,1.0,True,418.319,398.735,2117.948,3,1,
bm25,workspace-070,那这个项目本地选的是哪一种，为什么？,True,"多轮,跨文档,指代,部署",hard,2,True,True,True,False,False,1389.78,True,2,2,2,2,True,True,8,True,1.0,0.5,1.0,False,0,0.0,,1.0,True,438.475,402.853,2231.107,3,1,
bm25,workspace-071,那具体必须达到多少？,False,"多轮,省略,无答案,容量",medium,2,True,True,True,False,False,1192.998,False,0,0,0,0,,,8,,,,,False,0,0.0,True,,,439.65,384.941,2017.59,3,1,
bm25,workspace-072,另一个问题：当前最终用户登录明确采用了哪一家 OIDC 身份提供商？,False,"多轮,话题切换,无答案,安全",easy,2,False,False,True,True,True,1711.625,False,0,0,0,0,,,0,,,,,True,0,0.0,False,,,1076.943,396.528,3185.096,3,1,
hybrid,workspace-061,那三种分别适合什么场景？,True,"多轮,指代,部署,单文档",medium,2,True,True,True,False,False,2436.118,False,1,1,1,1,True,,8,True,1.0,0.375,0.5,False,0,0.0,,1.0,True,1302.128,399.288,4137.535,3,1,
hybrid,workspace-062,换个话题，FastAPI 应用启动时如何管理外部组件的生命周期？,True,"多轮,话题切换,FastAPI,单文档",hard,2,False,False,True,True,True,1402.806,False,1,1,1,1,True,,8,True,1.0,0.125,0.5,False,0,0.0,,0.8,True,468.962,402.068,2273.836,3,1,
hybrid,workspace-063,那是越大越相似吗？,True,"多轮,指代,Embedding,易错点",easy,2,True,True,True,False,False,1659.253,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,1.0,True,1141.4,411.51,3212.163,3,1,
hybrid,workspace-064,那两者到底差在哪一步？,True,"多轮,省略,Chunk,对比",easy,2,True,True,True,False,False,1403.418,False,1,1,1,1,True,,8,True,1.0,0.125,1.0,False,0,0.0,,1.0,True,1083.319,398.17,2884.907,3,1,
hybrid,workspace-065,如果只跑一轮，为什么看不到它？,True,"多轮,指代,DeepSearch,反思",easy,2,True,True,True,False,False,1208.947,False,1,0,1,0,False,,8,False,0.0,0.0,0.0,False,0,0.0,,0.0,False,428.953,392.814,2030.714,3,1,
hybrid,workspace-066,默认关掉它具体意味着什么，又有什么误判风险？,True,"多轮,指代,ChainOfRAG,多证据",hard,2,True,True,True,False,False,1317.206,False,2,2,1,1,True,,8,True,1.0,0.25,0.25,False,0,0.0,,1.0,True,444.614,400.437,2162.257,3,1,
hybrid,workspace-067,为什么浏览器不能直接把这个路径交给它？,True,"多轮,指代,上传,边界",easy,2,True,True,True,False,False,1421.777,False,1,1,1,1,True,,8,True,1.0,0.125,0.3333333333333333,False,0,0.0,,1.0,True,1099.443,399.329,2920.55,3,1,
hybrid,workspace-068,它为什么不算思维链，最后又怎么变成引用？,True,"多轮,指代,Trace,引用",medium,2,True,True,True,False,False,1506.923,False,1,1,1,1,True,,8,True,1.0,0.25,1.0,False,0,0.0,,1.0,True,1042.42,393.363,2942.706,3,1,
hybrid,workspace-069,所以现在默认已经用上两路融合了吗？,True,"多轮,省略,Hybrid,易错点",medium,2,True,True,True,False,False,1300.895,False,2,2,1,1,True,,8,True,1.0,0.375,1.0,False,0,0.0,,1.0,True,418.319,423.906,2143.119,3,1,
hybrid,workspace-070,那这个项目本地选的是哪一种，为什么？,True,"多轮,跨文档,指代,部署",hard,2,True,True,True,False,False,1389.78,True,2,2,2,2,True,True,8,True,1.0,0.5,1.0,False,0,0.0,,1.0,True,438.475,379.802,2208.057,3,1,
hybrid,workspace-071,那具体必须达到多少？,False,"多轮,省略,无答案,容量",medium,2,True,True,True,False,False,1192.998,False,0,0,0,0,,,8,,,,,False,0,0.0,True,,,439.65,397.595,2030.244,3,1,
hybrid,workspace-072,另一个问题：当前最终用户登录明确采用了哪一家 OIDC 身份提供商？,False,"多轮,话题切换,无答案,安全",easy,2,False,False,True,True,True,1711.625,False,0,0,0,0,,,8,,,,,False,0,0.0,True,,,1076.943,228.888,3017.457,3,1,
